PDF Bestandsnaam,Domein,Vraag
2025I.txt,Zenuwstelsel en hormonen,orische schors Afbeelding laat zien hoe binding van umami smaakstof aan een receptor op een smaakzintuigcel op de tong leidt tot een signaal in een zenuwcel
2025I.txt,Waarnemen,plaatsen ontbreekt een afbeelding Umami smaakstoffen binden aan rec eptoren op de smaakzintuigcel
2025I.txt,Onbekend,Na een keten van reacties worden bl aasjes met
2025I.txt,Zenuwstelsel en hormonen,in de synaps tussen de smaakzintuigcel en de zenuwcel terecht
2025I.txt,Onbekend,"Schrijf de nummers , en onder el kaar"
2025I.txt,Waarnemen,Noteer erachter welk woord op de bijbehorende plaats moet staan
2025I.txt,Onbekend,Ze bleek Fanconi anemie te hebben
2025I.txt,Onbekend,Fanconi anemie \ FA\ is een zeldzame erfelijke ziekt
2025I.txt,Bloedsomloop,waarbij er onder andere een verminderde aanmaak is van de vaste bloedbestanddelen
2025I.txt,Waarnemen,FA wordt meestal veroorzaakt door een mutatie die aanwez
2025I.txt,Erfelijkheid,"ig is in een autosomaal gen, het FANCA gen"
2025I.txt,Erfelijkheid,Het mu tante allel is recessief
2025I.txt,Erfelijkheid,Normaal gesproken regelt het FANCA gen dat DNA ger epareerd kan worden
2025I.txt,Waarnemen,Fanconi anemie kan ook ontstaan door een mutatie die aanwe
2025I.txt,Erfelijkheid,ig is in een gen op het X chromosoom
2025I.txt,Erfelijkheid,l is recessief
2025I.txt,Erfelijkheid,Bij Eileen is FA het gevolg van aut osomale overerving
2025I.txt,Onbekend,afbeelding Waaruit blijkt dat FA in de familie van Eile
2025I.txt,Onbekend,Eileens moeder heeft geen FA
2025I.txt,Bloedsomloop,Eileens vader heeft geen FA
2025I.txt,Onbekend,Eileens broer heeft geen FA
2025I.txt,Onbekend,Eileens opa aan moeder s kant heeft geen FA
2025I.txt,Onbekend,doening heeft Eilee
2025I.txt,Bloedsomloop,Daardoor is ze altijd moe en heeft ze vaak last van infecties en bloedingen
2025I.txt,Bloedsomloop,Afbeelding is een microscopisch preparaat van gezond bloed
2025I.txt,Bloedsomloop,Hierin zijn verschillende vaste bloedbestanddelen met nummers aangegev
2025I.txt,Bloedsomloop,afbeelding lees verder De milt kan rode bloedcellen opsl aan en speelt een rol bij de afbraak ervan
2025I.txt,Bloedsomloop,In welk ander orgaan worden rode bloedc
2025I.txt,Voeding en vertering,n wordt ook het eiwit afgebroken dat zuurstof transporteert
2025I.txt,Voeding en vertering,Noteer de naam van dit eiwit
2025I.txt,Afweer,capaciteit van de Bajau ook een relatie heeft met de grootte van hun milt en of deze aanpassing een genetische basis heeft
2025I.txt,Erfelijkheid,oekers isoleerden het DNA ui t cellen van het wangslijmvlies
2025I.txt,Afweer,Met behulp van echografie bepaald en ze de grootte van de milt
2025I.txt,Afweer,Cellen van de milt zijn moeilijk af te nemen
2025I.txt,Onbekend,ers isoleer
2025I.txt,Waarnemen,Licht toe dat cellen van het wangs kunnen worden voor het DNA onderzoek naar genen die de gr ootte van de milt be nvloeden
2025I.txt,Afweer,De milt is onderdeel van het lymfev atenstelsel
2025I.txt,Afweer,Met echografie werd de grootte van de milt bepaald
2025I.txt,Afweer,De tr ansductor \ afbeelding \ van het echoapparaat wordt op de plaats op de romp gezet waar zich de milt bevindt
2025I.txt,Afweer,Op een beeldscherm kan de milt dan zichtbaar worden gemaakt
2025I.txt,Onbekend,afbeelding afbeelding Op welke plaats op de romp \ ng \ moet de transductor geplaat
2025I.txt,Afweer,st worden om een beeld van de milt te kunnen krijge
2025I.txt,Bloedsomloop,Noteer in de tweede kolom in elk vakje het nummer waarmee het bijbehorende bloedbestanddeel in afbeelding is aangegev
2025I.txt,Onbekend,Noteer in de derde kolom in elk
2025I.txt,Bloedsomloop,de rode bloedcellen zijn bij voorkeur van Eileens eigen bloedgroep
2025I.txt,Bloedsomloop,Eileen heeft bloedgroep B en is resuspositief \ \
2025I.txt,Bloedsomloop,ou ze ook rode bloedcellen van andere bloedgroepen kunnen ontvangen
2025I.txt,Bloedsomloop,Het ziekenhuis heeft de volgende ander e rode bloedcelle
2025I.txt,Bloedsomloop,n op voorraad: Noteer welke van deze rode bloedcel len v
2025I.txt,Onbekend,kunnen worden
2025I.txt,Bloedsomloop,lagader lees verder Jasper kreeg antischimmel medicijnen
2025I.txt,Erfelijkheid,rte tijd daarna steeds dingen uit zijn
2025I.txt,Plantenfysiologie,bladgroenkorrels celkern Welke van deze onderdelen zijn aanwez
2025I.txt,Onbekend,Noteer de nummers
2025I.txt,Zenuwstelsel en hormonen,In afbeelding zijn tekeningen v an de hersenscans van Jaspers grote hersenen te zien
2025I.txt,Onbekend,Het zijn verschillende do
2025I.txt,Waarnemen,ijde van elke tekening is de voorkant van z ijn hoofd
2025I.txt,Zenuwstelsel en hormonen,tsen aan waar zenuwcellen vernietigd zijn door de schimmel
2025I.txt,Erfelijkheid,afbeelding Op een van de tekeningen in afbeelding is te zien dat de schimmel het gebied heeft ge nfecteerd dat Jaspers rechterhand aanstuurt
2025I.txt,Onbekend,Op welke tekening is dat
2025I.txt,Onbekend,op tekening op tekening op tekening lees verder Onderzoeker Charlotte Schm idt veronderstelde dat bepaalde
2025I.txt,Waarnemen,mbinaties lekker worden gevonden doordat umami smaakstoffen uit beide producten elkaar versterken
2025I.txt,Onbekend,Uit eerder onderzoek
2025I.txt,Waarnemen,bleek dat bij ei eren de umami smaak vooral wordt veroorzaakt door het aminozuur glutaminezuur
2025I.txt,Waarnemen,Bij spek wordt de umami smaak ver oorzaakt door bepaalde nucleotiden
2025I.txt,Onbekend,"Schmidt ontdekte dat wanneer dez e nucleotiden aanwezig zijn,"
2025I.txt,Onbekend,uur sterker wordt gebonden aan de receptor
2025I.txt,Zenuwstelsel en hormonen,"Dit leidt tot een sterker signaal naar de hersenen, zodat de umami smaak sterker wordt waargenomen"
2025I.txt,Waarnemen,"Schmidt leidde hieruit af dat tw ee umami smaakstof fen waarvan de n een nucleotide is en de ander een am inozuur, elkaar inderdaad kunnen versterken"
2025I.txt,Onbekend,In welke regels in de tekst word t de hypothese van het onderzoek van Schmidt beschreven
2025I.txt,Uitscheiding,oor hun pr ofielwerkstuk onderzoeken of de smaakstoffen van ham en van kaas el kaar op dezelfde manier versterken als spek en eieren
2025I.txt,Waarnemen,"Ze maken drie puddingen waaraan ze verschillende smaakstoffen toevoegen: Pudding : ham smaakstof, in een concentratie net onder de drempelwaarde"
2025I.txt,Waarnemen,"Pudding : kaas smaakstof, in een concentratie net onder de drempelwaarde"
2025I.txt,Waarnemen,"Pudding : beide smaakstoffen, met dez elfde concentratie ham smaakstof als in pudding en dezelfde concent ratie kaas smaakstof als in pudding"
2025I.txt,Erfelijkheid,leerlingen doen mee aan het onderzoek
2025I.txt,Waarnemen,Kees noteert of de proefpersonen wel of niet ham en/of kaas waarnemen
2025I.txt,Onbekend,Na elke hap spoelen de proefpersonen hun mond met water
2025I.txt,Waarnemen,Kruis in de tabel aan met welke resultaten bevestigd zou worden dat beide smaakstoffen elkaar versterken
2025I.txt,Uitscheiding,"Om te controleren of de proefpersonen wel in staat zijn om ham en kaassmaak waar te nemen, lat en Han en Kees hun proefpersonen op dezelfde manier extr a puddingen proeven"
2025I.txt,Onbekend,Noteer wat de samenstellin
2025I.txt,Erfelijkheid,g is van deze extra puddingen
2025I.txt,Erfelijkheid,"s teksten en afbeeldingen, is te vinden in het bij dit examen"
2025I.txt,Waarnemen,e correctievoorschrift
2025I.txt,Bloedsomloop,Wat is de naam van het proces w aarbij uit de stamcellen verschillende typen bloedcellen ontstaan
2025I.txt,Onbekend,En van welk proces is dit het gevolg
2025I.txt,Bloedsomloop,typen bloedcellen dat is het ontstaan door gevolg van adaptatie sie adaptatie recombinatie differentiatie
2025I.txt,Plantenfysiologie,ie Een gevaar bij stamceltransplantati e is de omgekeerde afstotingsziekte
2025I.txt,Erfelijkheid,Om dit tegen te gaan is een donor gez
2025I.txt,Onbekend,ocht van wie de membraaneiwi tten op de lichaamscellen zo veel mogelijk overeenkomen met die van Eileen
2025I.txt,Waarnemen,Welke afweercellen zijn ver antwoordelijk voor de omgekeerde afstotingsziekte
2025I.txt,Onbekend,atie is gesl aagd als de gedonee
2025I.txt,Bloedsomloop,rde stamcellen zich vestigen op de plaats waar ook b ij gezonde mensen bloedc
2025I.txt,Plantenfysiologie,Waar zullen de getransplanteer
2025I.txt,Bloedsomloop,de st amcellen zich dan bij Eileen hebben in haar botten in haar hart in haar lev
2025I.txt,Voeding en vertering,ersity & Research onderzoekt de mogelijkheid om eendenkroosplantjes te gebruiken als eiwitrijke groente
2025I.txt,Waarnemen,"Eendenkroos is een verzamelnaam v oor verschillende soorten drijvende waterplantjes van enkele millimeters groot, zoals Lemna minor \ afbeelding \"
2025I.txt,Plantenfysiologie,De plantjes bestaan uit een bladachtig schijfje dat op het water drijft
2025I.txt,Waarnemen,oossoorten zijn wortels aanwezig \ afbeelding \
2025I.txt,Onbekend,ondjes is de opname en afgifte van gasse
2025I.txt,Erfelijkheid,Welk gas wordt netto opgenomen in het licht
2025I.txt,Erfelijkheid,En welk gas wordt netto opgenomen in het donker
2025I.txt,Onbekend,Eendenkroos kan zich zowel geslachtel ijk als onges
2025I.txt,Waarnemen,"In het voorjaar worden soms bloem etjes gevormd, maar meestal plant eendenkroos zich voort door ni euwe bladschijfjes af"
2025I.txt,Erfelijkheid,De nakomelingen zijn genetis
2025I.txt,Erfelijkheid,Recombinatie van de chromosomen is mogelijk
2025I.txt,Onbekend,Noteer erachter of het bijbehorende kenmerk bij geslachtelijke of
2025I.txt,Waarnemen,Voor dit examen zijn maximaal punten te behalen
2025I.txt,Waarnemen,Voor elk vraagnummer staat hoeveel punt
2025I.txt,Onbekend,aald kunnen worden
2025I.txt,Onbekend,"Als bij een open vraag een verklaring, uitleg of berekening gev"
2025I.txt,Waarnemen,"raagd wordt, worden aan het antwoord meestal geen punten toegek end als deze verklaring, uitleg of berekening ontbreekt"
2025I.txt,Waarnemen,"Geef niet meer antwoor den \ redenen, voorbeelden e"
2025I.txt,Onbekend,\ dan er worden gevraagd
2025I.txt,Waarnemen,"ee redenen wor den gevraagd en je geeft meer dan twee redenen, dan worden alleen de eerste twee in de beoordelin eteld"
2025I.txt,Plantenfysiologie,"lees verder Eendenkroos groeit op ondiep, stilst aand of langzaam stromend water in sloten en vijvers"
2025I.txt,Stofwisseling van de cel,"In de periode v an mei tot oktober groeit de populatie Als het wateroppervlak geheel met eendenkroos bedekt is, kan een tekort aan zuurstof ontstaan voor dieren die in het water leven"
2025I.txt,Stofwisseling van de cel,es spelen een aantal gebeurtenissen een rol: Aerobe bacteri n breken het organisch materiaal af
2025I.txt,Waarnemen,Er dringt geen licht meer door in het water
2025I.txt,Stofwisseling van de cel,Er is geen fotosynthese mogelijk bij waterplanten die onder water groeien
2025I.txt,Stofwisseling van de cel,Noteer de nummers van de vier gebeurtenissen waardoor een tekort aan zuurstof ontstaat in de juiste volgorde
2025I.txt,Waarnemen,Voor haar onderzoek
2025I.txt,Erfelijkheid,afbeelding Het water in de bakken bevat onder andere anorganische stikstofverbindingen
2025I.txt,Waarnemen,De stikstof \ N\ is nodig voor de vorming van aminozuren en andere organisc
2025I.txt,Erfelijkheid,Enkele organische stoffen zijn: chlorofyl DNA
2025I.txt,Onbekend,Schrijf de nummers tot en met onder elkaar
2025I.txt,Onbekend,Noteer erachter of de bijbehorende stof stikstof bevat
2025I.txt,Onbekend,Onder gunstige omstandigheden kan de biomassa van eendenkroos in n dag verdubbelen
2025I.txt,Onbekend,"Het is belangrij k om de hoeveelheid mineralen in het water goed te doseren, zodat ze geen beperkende factor worden"
2025I.txt,Onbekend,Ook de concentraties van O worden gemonitord
2025I.txt,Onbekend,Noem nog een ander
2025I.txt,Plantenfysiologie,e beperke nd kan zijn tijdens de snelle groei van eendenkroos
2025I.txt,Onbekend,lees verder Gevaarlijke sporen Jasper heeft een levensgevaar
2025I.txt,Afweer,e infectie gehad met een schimmel die resistent is tegen medicijnen
2025I.txt,Onbekend,Deze schimmel is waa
2025I.txt,Waarnemen,schijnlijk resistent geworden door het gebruik van
2025I.txt,Onbekend,Aspergillus fumigatus is een schimmel die algemeen
2025I.txt,Onbekend,aanwezig is in de bodem
2025I.txt,Onbekend,Als gevolg van een ziekte heeft Jasper echt er een sterk verlaagde weers
2025I.txt,Waarnemen,"and, waardoor de schimmel een gev"
2025I.txt,Erfelijkheid,Leg uit hoe deze twee celtypen samen tegengaan dat schimmelsporen de
2025I.txt,Onbekend,lees verder Eendenkroos wordt al enkele jar
2025I.txt,Voeding en vertering,"t of eendenkroos ook geschikt is voor menselijke consumptie, omdat eiwitten zo via de kortst m ogelijke voedselk"
2025I.txt,Stofwisseling van de cel,"gunstig, want bij elke schakel in de voedselketen gaat een groot deel van de energie ui t organische stoffen verloren"
2025I.txt,Stofwisseling van de cel,Oorzaken van dit energieverlies zijn dat dode en niet eetbare delen niet gegeten worden en dat een deel van de or ganische stoffen in ontlasting terechtkomt
2025I.txt,Stofwisseling van de cel,Er is nog een belangrijke oorzaak van dit energieverlies
2025I.txt,Waarnemen,Noteer die oorzaak
2025I.txt,Onbekend,ehalte is e
2025I.txt,Onbekend,d verteerbaar zijn en bepaalde aminozuren bevatten
2025I.txt,Waarnemen,Leg uit dat voor het bepale
2025I.txt,Onbekend,an worden naar de toename v an de essenti le aminozuren dan naar de toename van niet e ssenti le aminozuren
2025I.txt,Onbekend,ouw worden groenten onder gec
2025I.txt,Waarnemen,Door verticale landbouw is er minder landbouwgrond nodig
2025I.txt,Waarnemen,Geef nog een ander argum ent waardoor de produc tie van groenten door middel van verticale landbouw ecologisch duurzamer kan zijn dan de productie van groenten vi a de gangbare akkerbouw
2025I.txt,Onbekend,"lees verder Tenzij anders vermel , is er sprake van normale situaties en gezonde organismen"
2025I.txt,Onbekend,De Biesbosch is een waterrijk natuurgebied met veel
2025I.txt,Waarnemen,Vanaf nam de populatie zeearenden in Duitsland toe door een afname van het gebruik van bepaalde insecticiden en door een jachtverbod
2025I.txt,Erfelijkheid,"afbeelding afbeelding Zeearenden werden al eerder in Nederland waar genomen, maar pas vanaf vestigden ze zich"
2025I.txt,Waarnemen,"Dat kon doordat er steeds meer natte natuurgebieden ontstonden, waar vogels die prooi zijn voor de zeearend, in grote groepen"
2025I.txt,Onbekend,ng toont de plaatsen waar nu zeearenden
2025I.txt,Waarnemen,Wat is de biologische term voor een geschikt leefgebied van e
2025I.txt,Ecologie,ecosysteem populatie trofisch niveau De zeearend is in Nederland geen exoot
2025I.txt,Onbekend,Verklaar dit
2025I bijlage.txt,Bloedsomloop,nummer in afbeeldin mptoom bi tekort rode bloedcel witte bloedcel wel smaakwaarnemin een smaakwaarne
2025I bijlage.txt,Onbekend,Naam kandidaat
2025II.txt,Uitscheiding,lees verder Bij een kat met chronisch nierfalen zijn
2025II.txt,Uitscheiding,n te zien in een microscopisch preparaat van het nierweefsel
2025II.txt,Onbekend,"ulus is vergroot, en de rui"
2025II.txt,Onbekend,te in het kapsel van Bowman is
2025II.txt,Onbekend,Afbeelding is een schematische tekening van het kapsel van Bowman met de glomerulus
2025II.txt,Uitscheiding,is een foto van een microscopisch preparaat van nierweefsel van een kat met chronisch nierfalen
2025II.txt,Onbekend,Welke letter in afbeelding geeft het kapsel van Bo
2025II.txt,Waarnemen,En op welke plaats in afbeelding is de doorsnede gemaa
2025II.txt,Uitscheiding,kt van de niereenheid waar P en Q bij horen
2025II.txt,Voeding en vertering,kapsel van Bowman plaats doorsnede letter P plaats letter P plaats letter Q plaats letter Q plaats Maureen geeft Rio voeding met een aange
2025II.txt,Voeding en vertering,"Het eten van te veel eiwitten zou name lijk leiden tot de productie van veel ureum, wat schadelijk is voor Rio"
2025II.txt,Uitscheiding,Hieronder staat hoe de grote hoeveelheid ureum ontstaat
2025II.txt,Voeding en vertering,Bij de vertering van de grote hoeveelhei
2025II.txt,Voeding en vertering,eiwitten worden veel
2025II.txt,Voeding en vertering,"gevormd, die daarna worden geresorbeer d in de darm"
2025II.txt,Waarnemen,Een groot gedeelte hiervan wordt vervolgens afgebroken door de
2025II.txt,Onbekend,Schrijf de nummers en onder el kaar
2025II.txt,Waarnemen,Noteer het woord dat op de bijbehorende plaats moet staan erachter
2025II.txt,Erfelijkheid,"s teksten en afbeeldingen, is te vinden in het bij dit examen"
2025II.txt,Waarnemen,e correctievoorschrift
2025II.txt,Onbekend,lees verder Het valt Andrea op dat er de afgelopen jaren in het Korenburgerveen steeds minder kleine zonnedauw te zien is
2025II.txt,Onbekend,Mogelijk heeft de kleine zonnedauw in het gebied last van de stikstofuitstoot van het bedrijf van Andrea
2025II.txt,Waarnemen,"Kleine zonnedauw Drosera intermedia , afbeelding \ is een plantje dat maximaal cm hoog wordt"
2025II.txt,Bloedsomloop,afbeelding Zonnedauw is een groep van vlees etende planten met groene bladeren en bladeren met kleverige druppels
2025II.txt,Voeding en vertering,"heiden enzymen af, waardoor de insecten worden verteerd"
2025II.txt,Waarnemen,Verklaar dat zonnedauw tot de producenten behoort
2025II.txt,Onbekend,Onderzoekers in Zweden deden onderzoe
2025II.txt,Onbekend,Zij hebben een veld waar ronde zonnedauw \ Drosera rotundifolia
2025II.txt,Onbekend,schillende hoeveelheden van een anorganische st
2025II.txt,Plantenfysiologie,ers hebben er vier jaar lang in september en in juni het aantal plantjes zonnedauw per vier kante meter geteld
2025II.txt,Waarnemen,Behoort de zonnedauw uit het Zweedse onderzoek tot dezelfde soort als de zonnedauw in het Korenburgerveen
2025II.txt,Waarnemen,Voor dit examen zijn maximaal punten te behalen
2025II.txt,Waarnemen,Voor elk vraagnummer staat hoeveel punt
2025II.txt,Onbekend,aald kunnen worden
2025II.txt,Onbekend,"Als bij een open vraag een verklaring, uitleg of berekening gev"
2025II.txt,Waarnemen,"raagd wordt, worden aan het antwoord meestal geen punten toegek end als deze verklaring, uitleg of berekening ontbreekt"
2025II.txt,Waarnemen,"Geef niet meer antwoor den \ redenen, voorbeelden e"
2025II.txt,Onbekend,\ dan er worden gevraagd
2025II.txt,Waarnemen,"ee redenen wor den gevraagd en je geeft meer dan twee redenen, dan worden alleen de eerste twee in de beoordelin eteld"
2025II.txt,Onbekend,langrijk is dat hij op
2025II.txt,Zenuwstelsel en hormonen,De verspreiding van het pigment in de stervormige cellen wordt aangestuurd door het zenuwstelsel
2025II.txt,Waarnemen,"Bij andere diersoorten die van kleur kunnen veranderen, worden kleurverander ingen mee"
2025II.txt,Zenuwstelsel en hormonen,Noteer een voordeel van aanstu ring door het zenuwstelsel
2025II.txt,Waarnemen,Er zijn zo n soorten kameleons
